13887 [http-nio-8080-exec-2] INFO  AUDITLOG - in: | OperationHistoryController | getAccountHistory | [8]
13908 [http-nio-8080-exec-2] INFO  AUDITLOG - out: | OperationHistoryController | getAccountHistory | [8] | <200 OK OK,[OperationHistoryDto(operationType=TRANSFER_IN, amount=500.00, balanceAfter=1250.00, createdAt=2026-02-21T12:15:42.958188, relatedAccountNumber=12101234567890123456789012), OperationHistoryDto(operationType=TRANSFER_IN, amount=500.00, balanceAfter=750.00, createdAt=2026-02-21T11:45:50.005650, relatedAccountNumber=12101234567890123456789012)],[]>
16:50:10.550 INFO  AUDITLOG - in: | OperationHistoryController | getAccountHistory | [8]
16:50:10.566 INFO  AUDITLOG - out: | OperationHistoryController | getAccountHistory | [8] | <200 OK OK,[OperationHistoryDto(operationType=TRANSFER_IN, amount=500.00, balanceAfter=1250.00, createdAt=2026-02-21T12:15:42.958188, relatedAccountNumber=12101234567890123456789012), OperationHistoryDto(operationType=TRANSFER_IN, amount=500.00, balanceAfter=750.00, createdAt=2026-02-21T11:45:50.005650, relatedAccountNumber=12101234567890123456789012)],[]>
19:24:36.177 INFO  AUDITLOG - in: | AuthController | login | [LoginRequest(email=1.kowalski@example.com, password=11111111)]
19:24:36.374 INFO  AUDITLOG - out: | AuthController | login | [LoginRequest(email=1.kowalski@example.com, password=11111111)] | <200 OK OK,eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI3MzE1YTRjYi1iODBhLTRiNDYtOGY5NS1jNGY5NDZjNjlmY2QiLCJzdWIiOiIxLmtvd2Fsc2tpQGV4YW1wbGUuY29tIiwiZW1haWwiOiIxLmtvd2Fsc2tpQGV4YW1wbGUuY29tIiwiaWF0IjoxNzcyMDQzODc2LCJleHAiOjE3NzIwNDc0NzZ9.ZVbUkO-VHx6Kt6G6CQSFlMzL-MUsI2JaLP80b97ZUe0,[]>
19:24:53.824 INFO  AUDITLOG - in: | ExpenseTypeController | addType | [ExpenseCreateDto(name=PALIWO)]
19:24:53.864 INFO  AUDITLOG - out: | ExpenseTypeController | addType | [ExpenseCreateDto(name=PALIWO)] | <201 CREATED Created,ExpenseResponseDto(id=1, name=PALIWO, active=true),[]>
19:25:31.574 INFO  AUDITLOG - in: | ExpenseTypeController | getById | [1]
19:25:31.579 INFO  AUDITLOG - out: | ExpenseTypeController | getById | [1] | <200 OK OK,ExpenseResponseDto(id=1, name=PALIWO, active=true),[]>
19:25:34.898 INFO  AUDITLOG - in: | ExpenseTypeController | getById | [1]
19:25:34.898 INFO  AUDITLOG - out: | ExpenseTypeController | getById | [1] | <200 OK OK,ExpenseResponseDto(id=1, name=PALIWO, active=true),[]>
19:25:41.753 INFO  AUDITLOG - in: | ExpenseTypeController | getById | [12]
19:27:11.562 INFO  AUDITLOG - in: | ExpenseTypeController | getAll | []
19:27:11.562 INFO  AUDITLOG - out: | ExpenseTypeController | getAll | [] | <200 OK OK,[ExpenseResponseDto(id=1, name=PALIWO, active=true)],[]>
19:39:03.099 INFO  AUDITLOG - in: | AuthController | login | [LoginRequest(email=1.kowalski@example.com, password=11111111)]
19:39:03.285 INFO  AUDITLOG - out: | AuthController | login | [LoginRequest(email=1.kowalski@example.com, password=11111111)] | <200 OK OK,eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiIzNTBjZGJmOC1iYTgxLTQyN2YtYjE3Zi04ZGViY2ViZjc1NWUiLCJzdWIiOiIxLmtvd2Fsc2tpQGV4YW1wbGUuY29tIiwiZW1haWwiOiIxLmtvd2Fsc2tpQGV4YW1wbGUuY29tIiwiaWF0IjoxNzcyMDQ0NzQzLCJleHAiOjE3NzIwNDgzNDN9.HS7wpwcObW4O8fS_N8EnnfSGEquRIWwzqyDtxNv9Iks,[]>
19:39:10.632 INFO  AUDITLOG - in: | AccountController | getAccountById | [7]
19:39:10.656 INFO  AUDITLOG - out: | AccountController | getAccountById | [7] | <200 OK OK,AccountResponseDto(accountHolderName=Standard User Account, accountNumber=12101234567890123456789012, amount=0.00),[]>
19:39:42.521 INFO  AUDITLOG - in: | OperationHistoryController | getAccountHistory | [7]
19:39:42.528 INFO  AUDITLOG - out: | OperationHistoryController | getAccountHistory | [7] | <200 OK OK,[OperationHistoryDto(operationType=TRANSFER_OUT, amount=500.00, balanceAfter=0.00, createdAt=2026-02-21T12:15:42.939805, relatedAccountNumber=56789012345678901234567890), OperationHistoryDto(operationType=TRANSFER_OUT, amount=500.00, balanceAfter=500.00, createdAt=2026-02-21T11:45:50.005650, relatedAccountNumber=56789012345678901234567890), OperationHistoryDto(operationType=WITHDRAW, amount=1000.00, balanceAfter=1000.00, createdAt=2026-02-21T11:42:31.596451, relatedAccountNumber=null), OperationHistoryDto(operationType=DEPOSIT, amount=1000.00, balanceAfter=2000.00, createdAt=2026-02-21T11:42:05.918781, relatedAccountNumber=null)],[]>
19:49:16.663 INFO  AUDITLOG - in: | AuthController | login | [LoginRequest(email=2.kowalski@example.com, password=11111111)]
19:49:16.739 INFO  AUDITLOG - out: | AuthController | login | [LoginRequest(email=2.kowalski@example.com, password=11111111)] | <200 OK OK,eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI1MDY2OWQwNS1jYjU4LTQxMWQtOTljYy1jODEzNzhkYTYyMzIiLCJzdWIiOiIyLmtvd2Fsc2tpQGV4YW1wbGUuY29tIiwiZW1haWwiOiIyLmtvd2Fsc2tpQGV4YW1wbGUuY29tIiwiaWF0IjoxNzcyMDQ1MzU2LCJleHAiOjE3NzIwNDg5NTZ9.rtjRk2oZRbANqkCqq0S8Xw1CkATqrdi2_buKoap68C4,[]>
19:49:26.790 INFO  AUDITLOG - in: | AccountController | getAccountByIdToDeposit | [5, AmountDto(amount=100.50)]
19:49:32.440 INFO  AUDITLOG - in: | AccountController | getAccountByIdToDeposit | [4, AmountDto(amount=100.50)]
19:49:36.214 INFO  AUDITLOG - in: | AccountController | getAccountByIdToDeposit | [6, AmountDto(amount=100.50)]
19:49:36.255 INFO  AUDITLOG - out: | AccountController | getAccountByIdToDeposit | [6, AmountDto(amount=100.50)] | <200 OK OK,AccountResponseDto(accountHolderName=Standard User, accountNumber=12345678901234567890123460, amount=1100.50),[]>
19:49:44.751 INFO  AUDITLOG - in: | AccountController | getAccountByIdToDeposit | [6, AmountDto(amount=100.50)]
19:49:44.759 INFO  AUDITLOG - out: | AccountController | getAccountByIdToDeposit | [6, AmountDto(amount=100.50)] | <200 OK OK,AccountResponseDto(accountHolderName=Standard User, accountNumber=12345678901234567890123460, amount=1201.00),[]>
19:49:50.989 INFO  AUDITLOG - in: | AccountController | getAccountByIdToWithdraw | [6, AmountDto(amount=100.50)]
19:49:50.989 INFO  AUDITLOG - out: | AccountController | getAccountByIdToWithdraw | [6, AmountDto(amount=100.50)] | <200 OK OK,AccountResponseDto(accountHolderName=Standard User, accountNumber=12345678901234567890123460, amount=1100.50),[]>
19:49:51.641 INFO  AUDITLOG - in: | AccountController | getAccountByIdToWithdraw | [6, AmountDto(amount=100.50)]
19:49:51.648 INFO  AUDITLOG - out: | AccountController | getAccountByIdToWithdraw | [6, AmountDto(amount=100.50)] | <200 OK OK,AccountResponseDto(accountHolderName=Standard User, accountNumber=12345678901234567890123460, amount=1000.00),[]>
19:55:46.129 INFO  AUDITLOG - in: | OperationHistoryController | assignType | [5, 1]
19:55:46.142 INFO  AUDITLOG - out: | OperationHistoryController | assignType | [5, 1] | <200 OK OK,OperationHistoryDto(operationType=DEPOSIT, amount=100.50, balanceAfter=1297.02, createdAt=2026-02-17T21:17:58.781584, relatedAccountNumber=null, expenseType=ExpenseResponseDto(id=1, name=PALIWO, active=true)),[]>
19:56:35.712 INFO  AUDITLOG - in: | OperationHistoryController | getAccountHistory | [6]
19:56:35.719 INFO  AUDITLOG - out: | OperationHistoryController | getAccountHistory | [6] | <200 OK OK,[OperationHistoryDto(operationType=WITHDRAW, amount=100.50, balanceAfter=1000.00, createdAt=2026-02-25T19:49:51.641571, relatedAccountNumber=null, expenseType=null), OperationHistoryDto(operationType=WITHDRAW, amount=100.50, balanceAfter=1100.50, createdAt=2026-02-25T19:49:50.989473, relatedAccountNumber=null, expenseType=null), OperationHistoryDto(operationType=DEPOSIT, amount=100.50, balanceAfter=1201.00, createdAt=2026-02-25T19:49:44.751341, relatedAccountNumber=null, expenseType=null), OperationHistoryDto(operationType=DEPOSIT, amount=100.50, balanceAfter=1100.50, createdAt=2026-02-25T19:49:36.221716, relatedAccountNumber=null, expenseType=null)],[]>
19:56:43.608 INFO  AUDITLOG - in: | OperationHistoryController | getAccountHistory | [5]
19:56:43.612 INFO  AUDITLOG - out: | OperationHistoryController | getAccountHistory | [5] | <200 OK OK,[OperationHistoryDto(operationType=TRANSFER_OUT, amount=79.50, balanceAfter=0.00, createdAt=2026-02-20T21:54:18.919631, relatedAccountNumber=12345678901234567890123456, expenseType=null), OperationHistoryDto(operationType=TRANSFER_OUT, amount=1400.00, balanceAfter=79.50, createdAt=2026-02-20T21:54:01.859630, relatedAccountNumber=12345678901234567890123456, expenseType=null), OperationHistoryDto(operationType=TRANSFER_OUT, amount=15.00, balanceAfter=1479.50, createdAt=2026-02-20T21:53:44.132413, relatedAccountNumber=12345678901234567890123456, expenseType=null), OperationHistoryDto(operationType=TRANSFER_OUT, amount=3.00, balanceAfter=1494.50, createdAt=2026-02-20T21:49:29.750770, relatedAccountNumber=12345678901234567890123456, expenseType=null), OperationHistoryDto(operationType=TRANSFER_OUT, amount=3.00, balanceAfter=1497.50, createdAt=2026-02-20T21:49:21.687338, relatedAccountNumber=12345678901234567890123456, expenseType=null)],[]>
19:56:49.856 INFO  AUDITLOG - in: | OperationHistoryController | getAccountHistory | [7]
19:56:49.859 INFO  AUDITLOG - out: | OperationHistoryController | getAccountHistory | [7] | <200 OK OK,[OperationHistoryDto(operationType=TRANSFER_OUT, amount=500.00, balanceAfter=0.00, createdAt=2026-02-21T12:15:42.939805, relatedAccountNumber=56789012345678901234567890, expenseType=null), OperationHistoryDto(operationType=TRANSFER_OUT, amount=500.00, balanceAfter=500.00, createdAt=2026-02-21T11:45:50.005650, relatedAccountNumber=56789012345678901234567890, expenseType=null), OperationHistoryDto(operationType=WITHDRAW, amount=1000.00, balanceAfter=1000.00, createdAt=2026-02-21T11:42:31.596451, relatedAccountNumber=null, expenseType=null), OperationHistoryDto(operationType=DEPOSIT, amount=1000.00, balanceAfter=2000.00, createdAt=2026-02-21T11:42:05.918781, relatedAccountNumber=null, expenseType=null)],[]>
19:56:57.063 INFO  AUDITLOG - in: | OperationHistoryController | getAccountHistory | [1]
